,symbol,strike_spread,lotsize,tv_symbol,fno
0,AARTIIND,10,1000,AARTIIND,TRUE
1,ABB,100,125,ABB,TRUE
2,ABBOTINDIA,250,20,ABBOTINDIA,TRUE
3,ABCAPITAL,5,2700,ABCAPITAL,TRUE
4,ABFRL,5,2600,ABFRL,TRUE
5,ACC,20,300,ACC,TRUE
6,ADANIENSOL,20,625,ADANIENSOL,TRUE
7,ADANIENT,20,300,ADANIENT,TRUE
8,ADANIGREEN,20,375,ADANIGREEN,TRUE
9,ADANIPORTS,20,400,ADANIPORTS,TRUE
10,ALKEM,100,100,ALKEM,TRUE
11,AMBUJACEM,10,900,AMBUJACEM,TRUE
12,ANGELONE,50,200,ANGELONE,TRUE
13,APLAPOLLO,20,350,APLAPOLLO,TRUE
14,APOLLOHOSP,50,125,APOLLOHOSP,TRUE
15,APOLLOTYRE,10,1700,APOLLOTYRE,TRUE
16,ASHOKLEY,5,2500,ASHOKLEY,TRUE
17,ASIANPAINT,20,200,ASIANPAINT,TRUE
18,ASTRAL,20,367,ASTRAL,TRUE
19,ATGL,10,775,ATGL,TRUE
20,ATUL,100,100,ATUL,TRUE
21,AUBANK,10,1000,AUBANK,TRUE
22,AUROPHARMA,20,550,AUROPHARMA,TRUE
23,AXISBANK,10,625,AXISBANK,TRUE
24,BAJAJ-AUTO,100,75,BAJAJ_AUTO,FALSE
25,BAJAJFINSV,20,500,BAJAJFINSV,TRUE
26,BAJFINANCE,100,125,BAJFINANCE,TRUE
27,BALKRISIND,50,300,BALKRISIND,TRUE
28,BANDHANBNK,5,2800,BANDHANBNK,TRUE
29,BANKBARODA,5,2925,BANKBARODA,TRUE
30,BANKINDIA,1,4825,BANKINDIA,TRUE
31,BATAINDIA,10,375,BATAINDIA,TRUE
32,BEL,5,2850,BEL,TRUE
33,BERGEPAINT,5,1320,BERGEPAINT,TRUE
34,BHARATFORG,20,500,BHARATFORG,TRUE
35,BHARTIARTL,20,475,BHARTIARTL,TRUE
36,BHEL,5,2625,BHEL,TRUE
37,BIOCON,5,2500,BIOCON,TRUE
38,BOSCHLTD,500,25,BOSCHLTD,TRUE
39,BPCL,5,1800,BPCL,TRUE
40,BRITANNIA,50,100,BRITANNIA,TRUE
41,BSE,100,125,BSE,TRUE
42,BSOFT,10,1000,BSOFT,TRUE
43,CAMS,100,125,CAMS,TRUE
44,CANBK,1,6750,CANBK,TRUE
45,CANFINHOME,10,975,CANFINHOME,TRUE
46,CDSL,20,350,CDSL,TRUE
47,CESC,5,2925,CESC,TRUE
48,CGPOWER,10,725,CGPOWER,TRUE
49,CHAMBLFERT,10,1900,CHAMBLFERT,TRUE
50,CHOLAFIN,20,625,CHOLAFIN,TRUE
51,CIPLA,20,325,CIPLA,TRUE
52,COALINDIA,5,1050,COALINDIA,TRUE
